Date,Capital Value,Fund Code,Fund Type
2013-01-04,100.0,Shanghai Composite,Index
2013-01-04,100.0,040001,Mutual Fund
2013-01-04,100.0,050001,Mutual Fund
2013-01-04,100.0,070002,Mutual Fund
2013-01-04,100.0,110011,Mutual Fund
2013-01-04,100.0,161005,Mutual Fund
2013-01-04,100.0,163402,Mutual Fund
2013-01-04,100.0,202002,Mutual Fund
2013-01-04,100.0,260116,Mutual Fund
2013-01-04,100.0,270006,Mutual Fund
2013-01-04,100.0,377010,Mutual Fund
2013-01-04,100.0,040001,Strategy Fund
2013-01-04,100.0,050001,Strategy Fund
2013-01-04,100.0,070002,Strategy Fund
2013-01-04,100.0,110011,Strategy Fund
2013-01-04,100.0,161005,Strategy Fund
2013-01-04,100.0,163402,Strategy Fund
2013-01-04,100.0,202002,Strategy Fund
2013-01-04,100.0,260116,Strategy Fund
2013-01-04,100.0,270006,Strategy Fund
2013-01-04,100.0,377010,Strategy Fund
2013-01-04,100.0,519008,Strategy Fund
2013-01-07,100.37,Shanghai Composite,Index
2013-01-07,100.34,040001,Mutual Fund
2013-01-07,100.14,050001,Mutual Fund
2013-01-07,100.69999999999999,070002,Mutual Fund
2013-01-07,101.16000000000001,110011,Mutual Fund
2013-01-07,100.83,161005,Mutual Fund
2013-01-07,100.67999999999999,163402,Mutual Fund
2013-01-07,100.16000000000001,202002,Mutual Fund
2013-01-07,100.96000000000001,260116,Mutual Fund
2013-01-07,100.37,270006,Mutual Fund
2013-01-07,99.91,377010,Mutual Fund
2013-01-07,100.44993446716252,040001,Strategy Fund
2013-01-07,100.71053143335985,050001,Strategy Fund
2013-01-07,100.94077729562983,070002,Strategy Fund
2013-01-07,100.9116439567816,110011,Strategy Fund
2013-01-07,100.92960362046985,161005,Strategy Fund
2013-01-07,100.95323017290153,163402,Strategy Fund
2013-01-07,100.86022229741741,202002,Strategy Fund
2013-01-07,100.9067271198804,260116,Strategy Fund
2013-01-07,100.86998817431451,270006,Strategy Fund
2013-01-07,100.99972650150157,377010,Strategy Fund
2013-01-07,101.18381657920811,519008,Strategy Fund
2013-01-08,99.958483,Shanghai Composite,Index
2013-01-08,100.681156,040001,Mutual Fund
2013-01-08,99.45904800000001,050001,Mutual Fund
2013-01-08,101.55595,070002,Mutual Fund
2013-01-08,101.29150800000002,110011,Mutual Fund
2013-01-08,101.495478,161005,Mutual Fund
2013-01-08,100.88135999999999,163402,Mutual Fund
2013-01-08,100.34028799999999,202002,Mutual Fund
2013-01-08,100.869136,260116,Mutual Fund
2013-01-08,101.283367,270006,Mutual Fund
2013-01-08,101.538533,377010,Mutual Fund
2013-01-08,101.08410141217232,040001,Strategy Fund
2013-01-08,100.41947968090852,050001,Strategy Fund
2013-01-08,101.9899154191964,070002,Strategy Fund
2013-01-08,101.93009553377796,110011,Strategy Fund
2013-01-08,102.45573097633391,161005,Strategy Fund
2013-01-08,101.32441425883563,163402,Strategy Fund
2013-01-08,101.21276216717752,202002,Strategy Fund
2013-01-08,101.84412586677125,260116,Strategy Fund
2013-01-08,102.25739032129377,270006,Strategy Fund
2013-01-08,102.25246444845033,377010,Strategy Fund
2013-01-08,102.43516668117975,519008,Strategy Fund
2013-01-09,99.9284954551,Shanghai Composite,Index
2013-01-09,101.01340381480001,040001,Mutual Fund
2013-01-09,99.45904800000001,050001,Mutual Fund
2013-01-09,102.27699724499999,070002,Mutual Fund
2013-01-09,101.72706148440001,110011,Mutual Fund
2013-01-09,101.90145991199999,161005,Mutual Fund
2013-01-09,101.23444475999999,163402,Mutual Fund
2013-01-09,100.75168318079999,202002,Mutual Fund
2013-01-09,100.51609402400001,260116,Mutual Fund
2013-01-09,102.3670990269,270006,Mutual Fund
2013-01-09,102.3406874107,377010,Mutual Fund
2013-01-09,101.49641799535931,040001,Strategy Fund
2013-01-09,100.3587794771117,050001,Strategy Fund
2013-01-09,102.45960611900612,070002,Strategy Fund
2013-01-09,101.92221544380273,110011,Strategy Fund
2013-01-09,102.90437757094497,161005,Strategy Fund
2013-01-09,101.44793618364267,163402,Strategy Fund
