Year,Mutual Fund 040001,Mutual Fund 050001,Mutual Fund 070002,Mutual Fund 110011,Mutual Fund 161005,Mutual Fund 163402,Mutual Fund 202002,Mutual Fund 260116,Mutual Fund 270006,Mutual Fund 377010,Shanghai Composite,Strategy Fund 040001,Strategy Fund 050001,Strategy Fund 070002,Strategy Fund 110011,Strategy Fund 161005,Strategy Fund 163402,Strategy Fund 202002,Strategy Fund 260116,Strategy Fund 270006,Strategy Fund 377010
2013,-10.26,-19.04,-9.71,-10.43,-14.09,-11.44,-10.67,-14.72,-9.84,-11.73,-19.93,-20.51,-21.12,-13.45,-13.02,-13.94,-15.38,-15.37,-15.59,-12.2,-13.3
2014,-12.9,-7.83,-12.25,-8.61,-12.78,-6.79,-12.08,-15.35,-15.78,-18.67,-6.95,-12.22,-9.33,-12.07,-11.14,-12.1,-10.79,-10.53,-12.57,-12.25,-13.46
2015,-35.0,-33.29,-41.09,-28.83,-45.93,-28.68,-42.09,-48.61,-54.09,-60.07,-43.34,-45.23,-45.01,-51.74,-39.18,-48.79,-44.31,-46.47,-48.78,-47.64,-49.69
2016,-17.52,-16.63,-17.37,-15.15,-24.61,-13.3,-20.45,-24.13,-24.78,-20.38,-21.01,-23.88,-19.43,-23.27,-22.02,-22.41,-25.72,-23.66,-22.97,-24.62,-24.22
2017,-9.47,-7.01,-13.85,-7.2,-7.6,-6.73,-6.59,-8.45,-9.77,-13.72,-7.19,-7.88,-10.12,-11.1,-7.55,-7.34,-9.98,-8.14,-7.99,-11.31,-11.03
2018,-29.2,-26.29,-18.31,-29.37,-31.34,-24.84,-28.11,-32.53,-37.34,-44.72,-30.2,-29.19,-29.9,-30.32,-31.31,-30.25,-28.62,-29.16,-28.23,-28.69,-36.33
2019,-9.82,-10.44,-6.53,-8.59,-11.49,-9.87,-9.55,-10.92,-11.24,-12.29,-15.32,-14.23,-16.73,-15.62,-11.01,-16.0,-13.41,-13.11,-14.98,-15.69,-19.65
2020,-12.6,-11.63,-13.04,-15.76,-16.82,-13.12,-15.43,-15.68,-16.33,-16.61,-14.59,-14.37,-15.26,-13.33,-12.09,-13.68,-13.88,-14.67,-12.84,-13.58,-16.13
2021,-16.27,-21.93,-19.29,-28.4,-17.37,-13.84,-20.67,-20.0,-19.62,-8.86,-9.16,-13.42,-14.72,-18.92,-23.73,-16.48,-16.17,-14.77,-18.26,-15.99,-12.74
2022,-32.31,-18.14,-23.63,-37.58,-28.61,-23.99,-24.71,-25.37,-19.48,-30.11,-20.52,-27.5,-25.9,-33.67,-28.04,-27.4,-31.18,-20.8,-27.43,-19.26,-31.55
2023,-30.15,-18.39,-24.49,-31.89,-19.89,-23.36,-19.6,-17.94,-35.22,-27.49,-14.62,-26.53,-20.86,-26.13,-21.84,-21.96,-26.89,-22.47,-20.35,-21.39,-23.6
2024,-20.93,-9.52,-15.07,-20.02,-20.44,-11.58,-13.53,-15.46,-21.33,-13.43,-14.74,-14.35,-17.92,-19.1,-20.12,-18.5,-17.24,-16.43,-17.83,-17.06,-17.43
2025,-3.01,-1.12,-1.75,-4.67,-1.6,-1.98,-1.54,-2.15,-3.02,-2.42,-4.09,,,,,,,,,,
