Year,Mutual Fund 040001,Mutual Fund 050001,Mutual Fund 070002,Mutual Fund 110011,Mutual Fund 161005,Mutual Fund 163402,Mutual Fund 202002,Mutual Fund 260116,Mutual Fund 270006,Mutual Fund 377010,Shanghai Composite,Strategy Fund 040001,Strategy Fund 050001,Strategy Fund 070002,Strategy Fund 110011,Strategy Fund 161005,Strategy Fund 163402,Strategy Fund 202002,Strategy Fund 260116,Strategy Fund 270006,Strategy Fund 377010
2013,16.07,17.78,17.73,17.84,20.85,16.37,16.96,23.03,18.72,18.07,18.36,19.81,21.81,20.54,18.93,20.45,20.12,19.88,21.66,19.32,20.09
2014,14.59,14.29,15.83,17.96,17.73,14.41,15.41,18.87,18.67,17.73,17.23,18.61,18.05,18.05,16.65,17.78,16.64,17.31,18.45,18.1,16.57
2015,31.66,32.6,36.22,33.15,43.76,25.29,36.83,40.71,48.28,51.36,38.67,41.84,40.08,44.84,40.13,43.47,40.06,40.85,43.81,41.55,42.7
2016,19.75,17.92,21.65,20.06,26.72,15.35,21.34,25.87,29.99,21.87,21.99,24.98,19.92,24.8,23.39,23.52,26.68,24.37,23.02,26.47,25.35
2017,11.32,10.35,12.65,13.48,13.4,10.51,11.15,14.21,14.37,14.99,8.62,10.35,10.87,12.27,12.53,11.7,11.18,12.07,9.61,13.23,13.9
2018,17.34,17.02,20.88,27.09,24.91,19.58,17.12,23.83,23.98,27.06,19.63,20.62,20.6,23.12,24.62,22.58,21.27,21.98,21.46,21.59,28.95
2019,15.93,16.25,16.48,22.84,20.34,17.57,16.41,19.99,20.68,19.01,18.05,20.29,22.35,22.06,20.6,20.19,19.88,20.04,19.46,23.12,28.24
2020,19.48,21.43,21.48,25.37,24.46,20.75,23.38,22.66,22.5,23.41,20.74,22.08,23.66,23.91,23.86,23.0,22.33,24.07,22.73,22.57,24.34
2021,22.67,21.16,19.19,22.71,19.44,15.43,22.64,24.49,24.21,15.87,13.96,16.8,18.51,21.03,24.36,18.28,18.89,17.3,19.93,18.33,16.66
2022,22.46,17.81,18.75,33.87,20.89,20.47,20.49,23.1,24.76,22.11,17.89,21.62,20.93,23.45,20.98,20.66,21.92,19.85,20.67,21.76,21.48
2023,14.52,10.91,11.77,21.42,12.47,14.3,9.73,12.53,18.54,17.72,11.54,14.49,12.82,18.28,14.24,13.0,18.79,12.73,11.97,12.75,15.52
2024,28.13,17.18,19.35,24.11,23.34,20.67,15.43,19.29,21.16,25.55,19.86,22.87,23.63,26.45,22.2,22.88,29.97,22.97,20.48,19.64,25.98
2025,19.16,11.8,12.14,17.61,16.58,16.29,11.57,15.32,17.17,20.04,12.19,,,,,,,,,,
