Year,Rank,Fund,Volatility (%)
2013,1,260116,23.0358
2013,2,270006,18.7406
2013,3,161005,20.8871
2013,4,070002,17.7412
2013,5,163402,16.3735
2013,6,110011,17.8553
2013,7,040001,16.0788
2013,8,050001,17.7951
2013,9,202002,16.9693
2013,10,377010,18.1852
2014,1,260116,18.8758
2014,2,161005,17.7372
2014,3,070002,15.8561
2014,4,377010,17.7437
2014,5,110011,17.9707
2014,6,163402,14.4163
2014,7,270006,18.7096
2014,8,040001,14.6005
2014,9,202002,15.4149
2014,10,050001,14.2918
2015,1,163402,25.3961
2015,2,110011,33.5381
2015,3,260116,40.8774
2015,4,161005,43.7618
2015,5,050001,32.8137
2015,6,202002,36.8378
2015,7,070002,36.218
2015,8,040001,31.6987
2015,9,270006,48.324
2015,10,377010,51.3604
2016,1,161005,27.8962
2016,2,070002,22.3851
2016,3,377010,23.0274
2016,4,270006,31.1616
2016,5,163402,15.7051
2016,6,202002,22.4692
2016,7,260116,27.0168
2016,8,040001,20.6689
2016,9,110011,21.0147
2016,10,050001,18.8312
2017,1,110011,13.4969
2017,2,163402,10.5265
2017,3,070002,12.6623
2017,4,050001,10.3544
2017,5,377010,15.0671
2017,6,202002,11.1603
2017,7,260116,14.2342
2017,8,161005,13.4253
2017,9,270006,14.3774
2017,10,040001,11.3543
2018,1,260116,23.9561
2018,2,110011,27.0958
2018,3,161005,24.945
2018,4,163402,19.6423
2018,5,377010,27.0657
2018,6,202002,17.1978
2018,7,270006,23.9933
2018,8,040001,17.4471
2018,9,070002,20.8956
2018,10,050001,17.0538
2019,1,070002,16.5306
2019,2,110011,22.9727
2019,3,163402,17.6663
2019,4,050001,16.2612
2019,5,202002,16.4349
2019,6,040001,15.9571
2019,7,260116,20.0595
2019,8,161005,20.4477
2019,9,270006,20.7157
2019,10,377010,19.0451
2020,1,110011,25.3852
2020,2,161005,24.4961
2020,3,377010,23.5599
2020,4,070002,21.4839
2020,5,270006,22.5437
2020,6,260116,22.6627
2020,7,050001,21.5032
2020,8,163402,20.8295
2020,9,202002,23.3813
2020,10,040001,19.5215
2021,1,110011,22.7505
2021,2,070002,19.2045
2021,3,202002,22.7078
2021,4,161005,19.4778
2021,5,270006,24.2163
2021,6,260116,24.5046
2021,7,163402,15.5016
2021,8,377010,15.8672
2021,9,040001,22.7722
2021,10,050001,21.2679
2022,1,040001,22.5193
2022,2,377010,22.11
2022,3,270006,24.7842
2022,4,260116,23.1704
2022,5,163402,20.4734
2022,6,202002,20.5283
2022,7,161005,20.9174
2022,8,070002,18.8407
2022,9,050001,17.8358
2022,10,110011,33.8789
2023,1,270006,18.576
2023,2,070002,11.8286
2023,3,110011,21.4265
2023,4,050001,10.9439
2023,5,202002,9.8236
2023,6,260116,12.588
2023,7,163402,14.3642
2023,8,040001,14.6033
2023,9,161005,12.4756
2023,10,377010,17.7297
2024,1,260116,19.2877
2024,2,050001,17.1974
2024,3,161005,23.3873
2024,4,202002,15.4391
2024,5,163402,20.7505
2024,6,070002,19.362
2024,7,377010,25.596
2024,8,040001,28.1389
2024,9,110011,24.1886
2024,10,270006,21.1886
