Period,Rank,Fund,Return (%)
2012-04,1,260116,7.8822
2012-04,2,270006,7.2899
2012-04,3,070002,7.4658
2012-04,4,040001,1.1669
2012-04,5,163402,2.9996
2012-04,6,110011,3.0602
2012-04,7,161005,5.9654
2012-04,8,202002,2.6832
2012-04,9,050001,3.9551
2012-04,10,377010,-0.222
2012-07,1,260116,-3.2934
2012-07,2,070002,-2.6101
2012-07,3,270006,-3.6082
2012-07,4,161005,-4.2164
2012-07,5,050001,-7.2281
2012-07,6,110011,-5.276
2012-07,7,163402,-4.0484
2012-07,8,202002,-5.5983
2012-07,9,040001,-3.0441
2012-07,10,377010,-6.505
2012-10,1,070002,-1.0576
2012-10,2,040001,3.8398
2012-10,3,260116,11.0181
2012-10,4,270006,1.6521
2012-10,5,163402,5.7047
2012-10,6,161005,4.4615
2012-10,7,110011,7.4303
2012-10,8,202002,3.5613
2012-10,9,377010,2.1474
2012-10,10,050001,8.0709
2013-01,1,260116,4.6898
2013-01,2,050001,-6.1444
2013-01,3,110011,7.1542
2013-01,4,163402,3.3133
2013-01,5,161005,3.5416
2013-01,6,040001,1.3757
2013-01,7,202002,1.434
2013-01,8,377010,3.1132
2013-01,9,270006,-1.5045
2013-01,10,070002,6.2263
2013-04,1,110011,-2.2907
2013-04,2,070002,2.6304
2013-04,3,260116,9.3971
2013-04,4,161005,-2.8201
2013-04,5,163402,-4.944
2013-04,6,377010,-5.671
2013-04,7,202002,-1.9675
2013-04,8,040001,-2.8502
2013-04,9,270006,-0.1524
2013-04,10,050001,-6.135
2013-07,1,260116,11.1968
2013-07,2,070002,7.8059
2013-07,3,270006,7.0197
2013-07,4,202002,10.5073
2013-07,5,110011,6.9639
2013-07,6,161005,17.3558
2013-07,7,040001,9.571
2013-07,8,163402,8.9126
2013-07,9,377010,13.031
2013-07,10,050001,5.0956
2013-10,1,161005,0.0765
2013-10,2,377010,0.7509
2013-10,3,260116,-4.8602
2013-10,4,202002,-4.3622
2013-10,5,040001,-2.4782
2013-10,6,163402,0.9089
2013-10,7,070002,-2.8126
2013-10,8,270006,0.9163
2013-10,9,110011,-2.1314
2013-10,10,050001,0.0118
2014-01,1,270006,-7.3634
2014-01,2,163402,-2.6361
2014-01,3,377010,-11.7748
2014-01,4,161005,-3.4211
2014-01,5,050001,-7.5141
2014-01,6,110011,-4.5063
2014-01,7,040001,-0.9602
2014-01,8,070002,-7.3717
2014-01,9,202002,-5.4076
2014-01,10,260116,-4.1541
2014-04,1,040001,1.6188
2014-04,2,163402,5.9366
2014-04,3,161005,0.5559
2014-04,4,260116,-0.9766
2014-04,5,110011,4.0083
2014-04,6,202002,4.5376
2014-04,7,270006,3.3184
2014-04,8,070002,7.6899
2014-04,9,050001,4.1425
2014-04,10,377010,0.6819
2014-07,1,070002,12.4622
2014-07,2,163402,11.648
2014-07,3,202002,9.7583
2014-07,4,050001,8.5629
2014-07,5,110011,6.256
2014-07,6,270006,8.4941
2014-07,7,040001,10.8465
2014-07,8,377010,6.826
2014-07,9,161005,17.7462
2014-07,10,260116,12.4835
2014-10,1,161005,9.8896
2014-10,2,260116,22.4599
2014-10,3,070002,2.438
2014-10,4,163402,18.3532
2014-10,5,040001,2.7698
2014-10,6,202002,11.872
2014-10,7,050001,17.875
2014-10,8,270006,6.2783
2014-10,9,377010,4.4058
2014-10,10,110011,24.545
2015-01,1,110011,14.3389
2015-01,2,260116,40.3838
2015-01,3,163402,24.7168
2015-01,4,050001,8.02
2015-01,5,202002,27.7118
2015-01,6,161005,43.1619
2015-01,7,270006,36.5538
2015-01,8,377010,48.7349
2015-01,9,040001,16.4058
2015-01,10,070002,45.0226
2015-04,1,377010,27.6796
2015-04,2,070002,20.3984
2015-04,3,161005,18.3814
2015-04,4,260116,14.8337
2015-04,5,270006,12.4388
2015-04,6,202002,11.7078
2015-04,7,163402,12.4674
2015-04,8,040001,14.6447
2015-04,9,110011,20.3977
2015-04,10,050001,10.267
2015-07,1,377010,-34.8703
2015-07,2,070002,-19.2329
2015-07,3,110011,-18.9282
2015-07,4,161005,-24.4833
2015-07,5,260116,-28.6488
2015-07,6,040001,-21.6759
2015-07,7,163402,-8.5078
2015-07,8,270006,-26.5748
2015-07,9,202002,-21.3644
2015-07,10,050001,-21.8517
2015-10,1,163402,11.4774
2015-10,2,110011,12.6215
2015-10,3,070002,18.6602
2015-10,4,202002,27.237
2015-10,5,040001,22.2043
2015-10,6,050001,14.2526
2015-10,7,161005,32.1206
2015-10,8,270006,27.845
2015-10,9,260116,18.166
2015-10,10,377010,22.6165
2016-01,1,161005,-19.3096
2016-01,2,270006,-18.6429
2016-01,3,202002,-14.4422
2016-01,4,377010,-11.9324
2016-01,5,040001,-15.4618
2016-01,6,070002,-6.0396
2016-01,7,260116,-18.3003
2016-01,8,050001,-12.4583
2016-01,9,110011,-6.1888
2016-01,10,163402,-7.84
2016-04,1,070002,3.5389
2016-04,2,110011,9.4186
2016-04,3,163402,2.9819
2016-04,4,377010,0.4523
2016-04,5,050001,-0.0173
2016-04,6,202002,2.9649
2016-04,7,040001,1.902
2016-04,8,260116,2.4226
2016-04,9,270006,3.8126
2016-04,10,161005,7.074
2016-07,1,110011,6.8478
2016-07,2,161005,0.2517
2016-07,3,270006,2.7789
2016-07,4,070002,-2.1183
2016-07,5,163402,4.3633
2016-07,6,202002,1.0133
2016-07,7,260116,6.7547
2016-07,8,040001,-1.9845
2016-07,9,377010,7.1358
2016-07,10,050001,1.7404
2016-10,1,377010,-4.8876
2016-10,2,110011,-1.2882
2016-10,3,260116,-2.5066
2016-10,4,163402,-0.0567
2016-10,5,270006,-4.3281
2016-10,6,050001,1.741
2016-10,7,202002,-0.533
2016-10,8,161005,-2.1669
2016-10,9,040001,-3.9171
2016-10,10,070002,-3.1065
2017-01,1,050001,-1.3791
2017-01,2,163402,3.5706
2017-01,3,202002,6.5889
2017-01,4,110011,13.6254
2017-01,5,161005,6.3867
2017-01,6,260116,11.1612
2017-01,7,070002,-0.3287
2017-01,8,040001,1.2558
2017-01,9,270006,1.7724
2017-01,10,377010,11.4119
2017-04,1,110011,11.9563
2017-04,2,377010,9.4824
2017-04,3,260116,13.1582
2017-04,4,202002,3.7653
2017-04,5,161005,6.7031
2017-04,6,163402,3.6336
2017-04,7,270006,1.2791
2017-04,8,040001,0.432
2017-04,9,070002,-6.8914
2017-04,10,050001,6.6878
2017-07,1,260116,1.6677
2017-07,2,110011,1.4712
2017-07,3,377010,3.2716
2017-07,4,161005,6.6244
2017-07,5,050001,-2.9796
2017-07,6,202002,2.1808
2017-07,7,163402,4.6328
2017-07,8,270006,4.8164
2017-07,9,040001,3.2417
2017-07,10,070002,6.8771
2017-10,1,070002,3.9904
2017-10,2,161005,5.5855
2017-10,3,270006,5.5238
2017-10,4,163402,11.4371
2017-10,5,377010,-3.6772
2017-10,6,040001,-0.5508
2017-10,7,202002,5.3991
2017-10,8,260116,15.4598
2017-10,9,110011,13.8184
2017-10,10,050001,-0.504
2018-01,1,260116,-2.4247
2018-01,2,110011,-0.8792
2018-01,3,163402,0.457
2018-01,4,161005,1.4418
2018-01,5,270006,-9.0503
2018-01,6,202002,-3.2029
2018-01,7,070002,-0.092
2018-01,8,050001,-0.7867
2018-01,9,040001,-2.5591
2018-01,10,377010,-4.0275
2018-04,1,161005,-5.3157
2018-04,2,163402,-8.0274
2018-04,3,070002,2.5712
2018-04,4,050001,-9.9583
2018-04,5,110011,7.4226
2018-04,6,260116,-5.6438
2018-04,7,040001,-10.5873
2018-04,8,202002,-3.8218
2018-04,9,377010,-12.4184
2018-04,10,270006,-9.8536
2018-07,1,110011,-5.1375
2018-07,2,070002,-1.9463
2018-07,3,202002,-4.6234
2018-07,4,161005,-8.612
2018-07,5,260116,-8.2139
2018-07,6,163402,-2.0887
2018-07,7,270006,-9.5804
2018-07,8,050001,-5.7376
2018-07,9,040001,-5.2274
2018-07,10,377010,-18.9478
2018-10,1,070002,-11.2977
2018-10,2,163402,-9.2706
2018-10,3,202002,-13.3595
2018-10,4,110011,-15.2346
2018-10,5,040001,-9.7308
2018-10,6,050001,-4.4475
2018-10,7,260116,-12.8404
2018-10,8,161005,-16.752
2018-10,9,270006,-13.336
2018-10,10,377010,-16.0488
