Period,Rank,Fund,Max Drawdown (%)
2012-04,1,260116,-5.4359
2012-04,2,270006,-4.6307
2012-04,3,070002,-4.2708
2012-04,4,040001,-7.0192
2012-04,5,163402,-4.5617
2012-04,6,110011,-7.5136
2012-04,7,161005,-5.4989
2012-04,8,202002,-4.1825
2012-04,9,050001,-3.5966
2012-04,10,377010,-8.8387
2012-07,1,260116,-10.2654
2012-07,2,070002,-10.5764
2012-07,3,270006,-8.8089
2012-07,4,161005,-9.9551
2012-07,5,050001,-11.5694
2012-07,6,110011,-9.4843
2012-07,7,163402,-8.0837
2012-07,8,202002,-9.7616
2012-07,9,040001,-7.049
2012-07,10,377010,-10.4716
2012-10,1,070002,-10.4712
2012-10,2,040001,-8.4202
2012-10,3,260116,-9.8713
2012-10,4,270006,-8.8327
2012-10,5,163402,-9.0393
2012-10,6,161005,-14.7473
2012-10,7,110011,-8.4075
2012-10,8,202002,-9.2236
2012-10,9,377010,-13.5534
2012-10,10,050001,-6.8453
2013-01,1,260116,-7.8752
2013-01,2,050001,-11.6874
2013-01,3,110011,-6.4446
2013-01,4,163402,-6.165
2013-01,5,161005,-6.5195
2013-01,6,040001,-4.6464
2013-01,7,202002,-5.7381
2013-01,8,377010,-5.1068
2013-01,9,270006,-7.6559
2013-01,10,070002,-4.4249
2013-04,1,110011,-10.4295
2013-04,2,070002,-7.5929
2013-04,3,260116,-14.7189
2013-04,4,161005,-14.094
2013-04,5,163402,-11.444
2013-04,6,377010,-9.9958
2013-04,7,202002,-10.6708
2013-04,8,040001,-10.2575
2013-04,9,270006,-9.8397
2013-04,10,050001,-14.393
2013-07,1,260116,-6.1976
2013-07,2,070002,-4.6532
2013-07,3,270006,-4.7968
2013-07,4,202002,-4.2078
2013-07,5,110011,-5.5585
2013-07,6,161005,-5.4864
2013-07,7,040001,-3.7726
2013-07,8,163402,-4.2307
2013-07,9,377010,-4.5176
2013-07,10,050001,-5.4455
2013-10,1,161005,-11.189
2013-10,2,377010,-9.5698
2013-10,3,260116,-11.0128
2013-10,4,202002,-9.3414
2013-10,5,040001,-9.1914
2013-10,6,163402,-7.4679
2013-10,7,070002,-9.712
2013-10,8,270006,-8.9016
2013-10,9,110011,-10.0287
2013-10,10,050001,-5.5427
2014-01,1,270006,-13.5958
2014-01,2,163402,-5.8516
2014-01,3,377010,-13.5662
2014-01,4,161005,-8.7262
2014-01,5,050001,-7.8275
2014-01,6,110011,-8.6134
2014-01,7,040001,-9.472
2014-01,8,070002,-10.5684
2014-01,9,202002,-9.2462
2014-01,10,260116,-11.3941
2014-04,1,040001,-6.5349
2014-04,2,163402,-6.4473
2014-04,3,161005,-7.4582
2014-04,4,260116,-10.51
2014-04,5,110011,-8.0703
2014-04,6,202002,-6.9874
2014-04,7,270006,-8.6443
2014-04,8,070002,-6.9099
2014-04,9,050001,-4.5715
2014-04,10,377010,-6.2258
2014-07,1,070002,-4.7277
2014-07,2,163402,-2.4679
2014-07,3,202002,-2.38
2014-07,4,050001,-2.0092
2014-07,5,110011,-5.1855
2014-07,6,270006,-3.224
2014-07,7,040001,-3.3179
2014-07,8,377010,-6.0573
2014-07,9,161005,-2.87
2014-07,10,260116,-3.1407
2014-10,1,161005,-10.7545
2014-10,2,260116,-4.4923
2014-10,3,070002,-6.6909
2014-10,4,163402,-4.272
2014-10,5,040001,-6.9227
2014-10,6,202002,-6.0065
2014-10,7,050001,-5.54
2014-10,8,270006,-8.2665
