Period,Rank,Fund,Sharpe Ratio
2012-04,1,260116,0.4321
2012-04,2,270006,0.4987
2012-04,3,070002,0.5497
2012-04,4,040001,0.0872
2012-04,5,163402,0.2705
2012-04,6,110011,0.1708
2012-04,7,161005,0.3534
2012-04,8,202002,0.2216
2012-04,9,050001,0.3749
2012-04,10,377010,-0.0132
2012-07,1,260116,-0.161
2012-07,2,070002,-0.1695
2012-07,3,270006,-0.3298
2012-07,4,161005,-0.2346
2012-07,5,050001,-0.4825
2012-07,6,110011,-0.3164
2012-07,7,163402,-0.3234
2012-07,8,202002,-0.42
2012-07,9,040001,-0.2379
2012-07,10,377010,-0.3876
2012-10,1,070002,-0.0772
2012-10,2,040001,0.3026
2012-10,3,260116,0.559
2012-10,4,270006,0.1635
2012-10,5,163402,0.3924
2012-10,6,161005,0.2305
2012-10,7,110011,0.4842
2012-10,8,202002,0.2556
2012-10,9,377010,0.1223
2012-10,10,050001,0.5304
2013-01,1,260116,0.1963
2013-01,2,050001,-0.3039
2013-01,3,110011,0.3463
2013-01,4,163402,0.1823
2013-01,5,161005,0.1767
2013-01,6,040001,0.087
2013-01,7,202002,0.0817
2013-01,8,377010,0.1561
2013-01,9,270006,-0.078
2013-01,10,070002,0.3711
2013-04,1,110011,-0.1184
2013-04,2,070002,0.1469
2013-04,3,260116,0.3637
2013-04,4,161005,-0.132
2013-04,5,163402,-0.2834
2013-04,6,377010,-0.3303
2013-04,7,202002,-0.1145
2013-04,8,040001,-0.1753
2013-04,9,270006,-0.0087
2013-04,10,050001,-0.3209
2013-07,1,260116,0.5207
2013-07,2,070002,0.4159
2013-07,3,270006,0.3772
2013-07,4,202002,0.6353
2013-07,5,110011,0.4191
2013-07,6,161005,0.8455
2013-07,7,040001,0.5775
2013-07,8,163402,0.5776
2013-07,9,377010,0.6948
2013-07,10,050001,0.285
2013-10,1,161005,0.0035
2013-10,2,377010,0.0444
2013-10,3,260116,-0.2287
2013-10,4,202002,-0.2589
2013-10,5,040001,-0.1566
2013-10,6,163402,0.062
2013-10,7,070002,-0.1594
2013-10,8,270006,0.0463
2013-10,9,110011,-0.143
2013-10,10,050001,0.0008
2014-01,1,270006,-0.3334
2014-01,2,163402,-0.1806
2014-01,3,377010,-0.624
2014-01,4,161005,-0.1698
2014-01,5,050001,-0.6023
2014-01,6,110011,-0.2233
2014-01,7,040001,-0.0543
2014-01,8,070002,-0.4124
2014-01,9,202002,-0.3139
2014-01,10,260116,-0.185
2014-04,1,040001,0.134
2014-04,2,163402,0.4966
2014-04,3,161005,0.0445
2014-04,4,260116,-0.0625
2014-04,5,110011,0.2895
2014-04,6,202002,0.379
2014-04,7,270006,0.2147
2014-04,8,070002,0.5703
2014-04,9,050001,0.4525
2014-04,10,377010,0.0453
2014-07,1,070002,1.0631
2014-07,2,163402,0.9463
2014-07,3,202002,0.8642
2014-07,4,050001,0.9247
2014-07,5,110011,0.4296
2014-07,6,270006,0.6582
2014-07,7,040001,1.0195
2014-07,8,377010,0.4842
2014-07,9,161005,1.4045
2014-07,10,260116,0.9368
2014-10,1,161005,0.4208
2014-10,2,260116,0.9946
2014-10,3,070002,0.1256
2014-10,4,163402,1.0191
2014-10,5,040001,0.1603
2014-10,6,202002,0.5984
2014-10,7,050001,0.811
2014-10,8,270006,0.2717
2014-10,9,377010,0.1995
2014-10,10,110011,1.1169
2015-01,1,110011,0.6531
2015-01,2,260116,1.5443
2015-01,3,163402,1.394
2015-01,4,050001,0.2577
2015-01,5,202002,1.3832
2015-01,6,161005,1.7717
2015-01,7,270006,1.4158
2015-01,8,377010,1.6526
2015-01,9,040001,1.1706
2015-01,10,070002,1.7228
2015-04,1,377010,0.4863
2015-04,2,070002,0.4378
2015-04,3,161005,0.4481
2015-04,4,260116,0.3319
2015-04,5,270006,0.2348
2015-04,6,202002,0.2982
2015-04,7,163402,0.3833
2015-04,8,040001,0.4865
2015-04,9,110011,0.6005
2015-04,10,050001,0.2898
2015-07,1,377010,-0.4814
2015-07,2,070002,-0.4548
2015-07,3,110011,-0.4008
2015-07,4,161005,-0.382
2015-07,5,260116,-0.5321
2015-07,6,040001,-0.4702
2015-07,7,163402,-0.2742
2015-07,8,270006,-0.3975
2015-07,9,202002,-0.411
2015-07,10,050001,-0.5479
2015-10,1,163402,0.8173
2015-10,2,110011,0.5482
2015-10,3,070002,0.8657
2015-10,4,202002,1.0931
2015-10,5,040001,0.8674
2015-10,6,050001,0.6704
2015-10,7,161005,1.0014
2015-10,8,270006,0.8208
2015-10,9,260116,0.6082
2015-10,10,377010,0.7867
2016-01,1,161005,-0.4024
2016-01,2,270006,-0.3496
2016-01,3,202002,-0.3635
2016-01,4,377010,-0.2957
2016-01,5,040001,-0.4448
2016-01,6,070002,-0.1776
2016-01,7,260116,-0.3981
2016-01,8,050001,-0.3857
2016-01,9,110011,-0.184
2016-01,10,163402,-0.2988
2016-04,1,070002,0.1527
2016-04,2,110011,0.5243
2016-04,3,163402,0.2098
2016-04,4,377010,0.0254
2016-04,5,050001,-0.0013
2016-04,6,202002,0.1624
2016-04,7,040001,0.1007
2016-04,8,260116,0.1058
2016-04,9,270006,0.1445
2016-04,10,161005,0.2857
2016-07,1,110011,0.4391
2016-07,2,161005,0.0187
2016-07,3,270006,0.1698
2016-07,4,070002,-0.1443
2016-07,5,163402,0.5206
2016-07,6,202002,0.1027
2016-07,7,260116,0.4505
2016-07,8,040001,-0.1995
2016-07,9,377010,0.5603
2016-07,10,050001,0.1517
2016-10,1,377010,-0.5375
2016-10,2,110011,-0.1204
2016-10,3,260116,-0.2114
2016-10,4,163402,-0.0076
2016-10,5,270006,-0.3051
2016-10,6,050001,0.1784
2016-10,7,202002,-0.06
2016-10,8,161005,-0.2082
2016-10,9,040001,-0.3998
2016-10,10,070002,-0.2505
2017-01,1,050001,-0.1362
2017-01,2,163402,0.3819
2017-01,3,202002,0.7225
2017-01,4,110011,1.2225
2017-01,5,161005,0.5491
2017-01,6,260116,1.051
2017-01,7,070002,-0.0289
2017-01,8,040001,0.1405
2017-01,9,270006,0.1275
2017-01,10,377010,0.8362
2017-04,1,110011,0.9483
2017-04,2,377010,0.7364
2017-04,3,260116,0.969
2017-04,4,202002,0.3412
2017-04,5,161005,0.5278
2017-04,6,163402,0.3446
2017-04,7,270006,0.0957
2017-04,8,040001,0.0412
2017-04,9,070002,-0.5478
2017-04,10,050001,0.6152
2017-07,1,260116,0.1379
2017-07,2,110011,0.1404
2017-07,3,377010,0.248
2017-07,4,161005,0.6039
2017-07,5,050001,-0.3294
2017-07,6,202002,0.243
2017-07,7,163402,0.6257
2017-07,8,270006,0.3625
2017-07,9,040001,0.2992
2017-07,10,070002,0.7925
2017-10,1,070002,0.236
2017-10,2,161005,0.3135
2017-10,3,270006,0.3242
2017-10,4,163402,0.8148
2017-10,5,377010,-0.1867
2017-10,6,040001,-0.0376
2017-10,7,202002,0.363
2017-10,8,260116,0.8004
2017-10,9,110011,0.7463
2017-10,10,050001,-0.0438
2018-01,1,260116,-0.097
2018-01,2,110011,-0.0385
2018-01,3,163402,0.0239
2018-01,4,161005,0.0633
2018-01,5,270006,-0.4403
2018-01,6,202002,-0.1804
2018-01,7,070002,-0.0046
2018-01,8,050001,-0.0453
2018-01,9,040001,-0.1356
2018-01,10,377010,-0.1813
2018-04,1,161005,-0.224
2018-04,2,163402,-0.4446
2018-04,3,070002,0.1387
2018-04,4,050001,-0.632
2018-04,5,110011,0.3184
2018-04,6,260116,-0.2479
2018-04,7,040001,-0.6494
2018-04,8,202002,-0.2586
2018-04,9,377010,-0.5008
2018-04,10,270006,-0.4376
2018-07,1,110011,-0.1985
2018-07,2,070002,-0.0914
2018-07,3,202002,-0.2752
2018-07,4,161005,-0.3559
2018-07,5,260116,-0.364
2018-07,6,163402,-0.1212
2018-07,7,270006,-0.3844
2018-07,8,050001,-0.3495
2018-07,9,040001,-0.3227
2018-07,10,377010,-0.6829
