Period,Rank,Fund,Volatility (%)
2012-04,1,260116,18.2413
2012-04,2,270006,14.6185
2012-04,3,070002,13.5817
2012-04,4,040001,13.3872
2012-04,5,163402,11.0888
2012-04,6,110011,17.915
2012-04,7,161005,16.8813
2012-04,8,202002,12.1099
2012-04,9,050001,10.5498
2012-04,10,377010,16.8375
2012-07,1,260116,20.4583
2012-07,2,070002,15.3975
2012-07,3,270006,10.941
2012-07,4,161005,17.9759
2012-07,5,050001,14.9795
2012-07,6,110011,16.6731
2012-07,7,163402,12.5177
2012-07,8,202002,13.3298
2012-07,9,040001,12.7962
2012-07,10,377010,16.7823
2012-10,1,070002,13.7069
2012-10,2,040001,12.6914
2012-10,3,260116,19.7092
2012-10,4,270006,10.1034
2012-10,5,163402,14.5381
2012-10,6,161005,19.3573
2012-10,7,110011,15.3448
2012-10,8,202002,13.9336
2012-10,9,377010,17.5601
2012-10,10,050001,15.2166
2013-01,1,260116,23.8856
2013-01,2,050001,20.2157
2013-01,3,110011,20.6561
2013-01,4,163402,18.1797
2013-01,5,161005,20.048
2013-01,6,040001,15.8136
2013-01,7,202002,17.5566
2013-01,8,377010,19.9456
2013-01,9,270006,19.2821
2013-01,10,070002,16.7757
2013-04,1,110011,19.3511
2013-04,2,070002,17.9111
2013-04,3,260116,25.8398
2013-04,4,161005,21.3574
2013-04,5,163402,17.448
2013-04,6,377010,17.1709
2013-04,7,202002,17.1902
2013-04,8,040001,16.2609
2013-04,9,270006,17.6003
2013-04,10,050001,19.1179
2013-07,1,260116,21.5051
2013-07,2,070002,18.7699
2013-07,3,270006,18.6093
2013-07,4,202002,16.5386
2013-07,5,110011,16.615
2013-07,6,161005,20.5271
2013-07,7,040001,16.5735
2013-07,8,163402,15.4311
2013-07,9,377010,18.7558
2013-07,10,050001,17.8799
2013-10,1,161005,21.7483
2013-10,2,377010,16.9205
2013-10,3,260116,21.2554
2013-10,4,202002,16.8475
2013-10,5,040001,15.8248
2013-10,6,163402,14.6566
2013-10,7,070002,17.6479
2013-10,8,270006,19.7942
2013-10,9,110011,14.9002
2013-10,10,050001,13.865
2014-01,1,270006,22.0881
2014-01,2,163402,14.5951
