Period,Rank,Fund,Return (%)
2012-07,1,260116,7.3619
2012-07,2,070002,-3.6402
2012-07,3,270006,-2.0157
2012-07,4,161005,0.057
2012-07,5,163402,1.4254
2012-07,6,110011,1.7623
2012-07,7,040001,0.6788
2012-07,8,050001,0.2594
2012-07,9,202002,-2.2363
2012-07,10,377010,-4.4974
2013-01,1,260116,14.5276
2013-01,2,110011,4.6996
2013-01,3,163402,-1.7945
2013-01,4,040001,-1.5137
2013-01,5,050001,-11.9025
2013-01,6,161005,0.6217
2013-01,7,270006,-1.6547
2013-01,8,202002,-0.5617
2013-01,9,070002,9.0205
2013-01,10,377010,-2.7343
2013-07,1,260116,5.7925
2013-07,2,070002,4.7738
2013-07,3,110011,4.6841
2013-07,4,161005,17.4455
2013-07,5,202002,5.6867
2013-07,6,040001,6.8556
2013-07,7,270006,8.0003
2013-07,8,163402,9.9025
2013-07,9,377010,13.8798
2013-07,10,050001,5.108
2014-01,1,161005,-2.8842
2014-01,2,377010,-11.1732
2014-01,3,163402,3.144
2014-01,4,270006,-4.2894
2014-01,5,040001,0.6431
2014-01,6,260116,-5.0901
2014-01,7,202002,-1.1154
2014-01,8,050001,-3.6829
2014-01,9,070002,-0.2487
2014-01,10,110011,-0.6786
2014-07,1,163402,32.139
2014-07,2,040001,13.9166
2014-07,3,070002,15.204
2014-07,4,110011,32.3365
2014-07,5,202002,22.7888
2014-07,6,161005,29.3908
2014-07,7,050001,27.9684
2014-07,8,270006,15.3058
2014-07,9,260116,37.7472
2014-07,10,377010,11.5325
2015-01,1,260116,61.2078
2015-01,2,110011,37.6614
2015-01,3,163402,40.2657
2015-01,4,161005,69.477
2015-01,5,050001,19.1103
2015-01,6,202002,42.664
2015-01,7,270006,53.5394
2015-01,8,070002,74.6049
2015-01,9,040001,33.453
2015-01,10,377010,89.9041
2015-07,1,377010,-20.1402
2015-07,2,070002,-4.1616
2015-07,3,161005,-0.2269
2015-07,4,260116,-15.6871
2015-07,5,270006,-6.1296
2015-07,6,202002,0.0536
2015-07,7,163402,1.9931
2015-07,8,110011,-8.6957
2015-07,9,040001,-4.2845
2015-07,10,050001,-10.7136
2016-01,1,163402,-5.0919
2016-01,2,202002,-11.9056
2016-01,3,161005,-13.6015
2016-01,4,070002,-2.7144
2016-01,5,040001,-13.8539
2016-01,6,270006,-15.5411
2016-01,7,110011,2.6469
2016-01,8,050001,-12.4734
2016-01,9,260116,-16.3211
2016-01,10,377010,-11.534
2016-07,1,110011,5.4714
2016-07,2,070002,-5.159
2016-07,3,163402,4.3041
2016-07,4,377010,1.8994
2016-07,5,202002,0.4749
2016-07,6,050001,3.5118
2016-07,7,161005,-1.9206
2016-07,8,040001,-5.8238
2016-07,9,270006,-1.6695
2016-07,10,260116,4.0788
2017-01,1,110011,27.2108
2017-01,2,163402,7.3339
2017-01,3,260116,25.788
2017-01,4,050001,5.2164
2017-01,5,377010,21.9765
2017-01,6,202002,10.6023
2017-01,7,270006,3.0742
2017-01,8,161005,13.5179
2017-01,9,070002,-7.1975
2017-01,10,040001,1.6932
2017-07,1,110011,15.4929
2017-07,2,260116,17.3853
2017-07,3,377010,-0.5259
2017-07,4,161005,12.58
2017-07,5,202002,7.6977
2017-07,6,163402,16.5997
2017-07,7,050001,-3.4685
2017-07,8,270006,10.6063
2017-07,9,040001,2.673
2017-07,10,070002,11.1419
2018-01,1,260116,-7.9317
2018-01,2,163402,-7.6071
2018-01,3,110011,6.4781
2018-01,4,161005,-3.9506
2018-01,5,070002,2.4769
2018-01,6,270006,-18.0121
2018-01,7,202002,-6.9023
2018-01,8,040001,-12.8755
2018-01,9,377010,-15.9457
2018-01,10,050001,-10.6667
2018-07,1,110011,-19.5895
2018-07,2,070002,-13.0241
2018-07,3,161005,-23.9213
2018-07,4,202002,-17.3653
2018-07,5,163402,-11.1657
2018-07,6,260116,-19.9996
2018-07,7,050001,-9.9299
2018-07,8,040001,-14.4495
2018-07,9,377010,-31.9557
2018-07,10,270006,-21.6388
