Period,Rank,Fund,Volatility (%)
2012-07,1,260116,20.0999
2012-07,2,070002,14.5534
2012-07,3,270006,10.5257
2012-07,4,161005,18.61
2012-07,5,163402,13.5276
2012-07,6,110011,16.0636
2012-07,7,040001,12.7247
2012-07,8,050001,15.1558
2012-07,9,202002,13.6178
2012-07,10,377010,17.1267
2013-01,1,260116,24.7962
2013-01,2,110011,19.957
2013-01,3,163402,17.7703
2013-01,4,040001,15.9825
2013-01,5,050001,19.5775
2013-01,6,161005,20.6516
2013-01,7,270006,18.3645
2013-01,8,202002,17.3007
2013-01,9,070002,17.293
2013-01,10,377010,18.5453
2013-07,1,260116,21.3886
2013-07,2,070002,18.2051
2013-07,3,110011,15.7783
2013-07,4,161005,21.1389
2013-07,5,202002,16.7225
2013-07,6,040001,16.2139
2013-07,7,270006,19.1324
2013-07,8,163402,15.0274
2013-07,9,377010,17.8698
2013-07,10,050001,15.9952
2014-01,1,161005,16.602
2014-01,2,377010,17.046
2014-01,3,163402,13.2962
2014-01,4,270006,18.9515
2014-01,5,040001,15.0172
2014-01,6,260116,19.1804
2014-01,7,202002,14.7657
2014-01,8,050001,10.9697
2014-01,9,070002,15.8362
2014-01,10,110011,17.186
2014-07,1,163402,15.298
2014-07,2,040001,14.2145
2014-07,3,070002,15.8872
2014-07,4,110011,18.5765
2014-07,5,202002,15.9472
2014-07,6,161005,18.6375
2014-07,7,050001,16.6899
2014-07,8,270006,18.4795
2014-07,9,260116,18.3648
2014-07,10,377010,18.3289
2015-01,1,260116,36.9458
2015-01,2,110011,28.7344
2015-01,3,163402,26.4265
2015-01,4,161005,34.038
2015-01,5,050001,33.291
2015-01,6,202002,31.4717
2015-01,7,270006,42.1104
2015-01,8,070002,38.1221
2015-01,9,040001,23.7012
2015-01,10,377010,45.7323
2015-07,1,377010,55.8435
2015-07,2,070002,33.9926
2015-07,3,161005,51.273
2015-07,4,260116,44.0587
2015-07,5,270006,53.5718
2015-07,6,202002,41.313
2015-07,7,163402,24.295
2015-07,8,110011,37.4837
2015-07,9,040001,37.7639
2015-07,10,050001,32.378
2016-01,1,163402,20.9599
2016-01,2,202002,30.704
2016-01,3,161005,37.9973
2016-01,4,070002,28.9064
2016-01,5,040001,27.8311
2016-01,6,270006,41.7803
2016-01,7,110011,26.7945
2016-01,8,050001,24.6426
2016-01,9,260116,36.0839
2016-01,10,377010,30.9188
2016-07,1,110011,13.4156
2016-07,2,070002,13.565
2016-07,3,163402,7.9457
2016-07,4,377010,11.1686
2016-07,5,202002,9.363
2016-07,6,050001,10.6281
2016-07,7,161005,12.0382
2016-07,8,040001,9.8387
2016-07,9,270006,15.3095
2016-07,10,260116,13.551
2017-01,1,110011,11.8567
2017-01,2,163402,9.9276
2017-01,3,260116,12.1523
2017-01,4,050001,10.4791
2017-01,5,377010,13.2103
2017-01,6,202002,10.0949
2017-01,7,270006,13.5792
2017-01,8,161005,12.1306
2017-01,9,070002,11.978
2017-01,10,040001,9.708
2017-07,1,110011,14.9098
2017-07,2,260116,16.0013
2017-07,3,377010,16.591
2017-07,4,161005,14.6001
2017-07,5,202002,12.1256
2017-07,6,163402,11.0839
2017-07,7,050001,10.2622
2017-07,8,270006,15.14
2017-07,9,040001,12.7651
2017-07,10,070002,13.2273
2018-01,1,260116,23.8046
2018-01,2,163402,18.5572
2018-01,3,110011,23.0145
2018-01,4,161005,23.1742
2018-01,5,070002,19.0936
2018-01,6,270006,21.4739
2018-01,7,202002,16.2493
2018-01,8,040001,17.5867
2018-01,9,377010,23.4832
2018-01,10,050001,16.5635
2018-07,1,110011,30.5008
2018-07,2,070002,22.5211
2018-07,3,161005,26.5496
2018-07,4,202002,18.0981
2018-07,5,163402,20.7033
2018-07,6,260116,24.1659
2018-07,7,050001,17.5782
2018-07,8,040001,17.3831
2018-07,9,377010,30.1525
2018-07,10,270006,26.2712
2019-01,1,050001,20.3023
2019-01,2,163402,22.3015
2019-01,3,070002,19.2655
2019-01,4,040001,20.0089
2019-01,5,202002,18.2501
2019-01,6,110011,27.7786
2019-01,7,260116,25.1595
2019-01,8,270006,26.0116
2019-01,9,161005,24.9385
2019-01,10,377010,22.4518
2019-07,1,110011,17.1463
2019-07,2,161005,15.0708
2019-07,3,070002,13.4696
2019-07,4,260116,13.6783
2019-07,5,270006,14.1187
2019-07,6,377010,15.2613
2019-07,7,163402,11.8006
2019-07,8,040001,10.8632
2019-07,9,050001,11.3093
2019-07,10,202002,14.6047
2020-01,1,377010,25.6431
2020-01,2,202002,24.8713
2020-01,3,050001,21.7066
2020-01,4,161005,26.6062
2020-01,5,270006,24.6522
2020-01,6,070002,23.0461
2020-01,7,260116,24.1032
2020-01,8,163402,21.8402
2020-01,9,110011,26.5575
2020-01,10,040001,19.3092
2020-07,1,070002,19.9937
2020-07,2,202002,21.9902
2020-07,3,161005,22.4667
2020-07,4,110011,24.2932
2020-07,5,270006,20.4691
2020-07,6,260116,21.3203
2020-07,7,377010,21.5392
2020-07,8,163402,19.9186
2020-07,9,050001,21.3974
2020-07,10,040001,19.6843
2021-01,1,110011,26.4397
2021-01,2,040001,22.5549
2021-01,3,270006,22.9536
2021-01,4,260116,24.6014
2021-01,5,161005,22.4051
2021-01,6,163402,17.0362
2021-01,7,377010,17.789
2021-01,8,070002,20.9003
2021-01,9,202002,24.2029
2021-01,10,050001,23.7631
2021-07,1,377010,13.4585
2021-07,2,070002,17.4002
2021-07,3,202002,21.2524
2021-07,4,040001,23.0469
2021-07,5,270006,25.4429
2021-07,6,161005,16.2988
2021-07,7,050001,18.6659
2021-07,8,163402,13.9645
2021-07,9,260116,24.5066
2021-07,10,110011,18.6986
2022-01,1,040001,26.2276
2022-01,2,270006,26.9613
2022-01,3,377010,25.3541
2022-01,4,260116,28.539
